,question,image_file,agentType,minmax_axis_normalized_error
26,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1size_facetname_reorderalph_colorgrey20.png,Human/Math-2-1,0.06083333333333332
27,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1size_facetname_reorderalph_colorgrey20.png,Human/Math-3,0.033749999999999995
28,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1size_facetname_reorderalph_colorgrey20.png,Salesforce/blip2-flan-t5-xl,0.6974444444444444
30,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1size_facetname_reorderalph_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.05
31,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1size_facetname_reorderalph_colorgrey20.png,llava-hf/llava-1.5-7b-hf,0.9890000000000001
32,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1size_facetname_reorderlarge_to_small_colorgrey20.png,GPT-4V,0.194
33,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1size_facetname_reorderlarge_to_small_colorgrey20.png,Human/Math-2-1,0.06599999999999999
34,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1size_facetname_reorderlarge_to_small_colorgrey20.png,Human/Math-3,0.003599999999999999
37,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1size_facetname_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.189
38,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1size_facetnone_reorderalph_colorgrey20.png,Human/Math-2-1,0.1266
39,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1size_facetnone_reorderalph_colorgrey20.png,Human/Math-3,0.082
40,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1size_facetnone_reorderalph_colorgrey20.png,Salesforce/blip2-flan-t5-xl,0.41100000000000003
42,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1size_facetnone_reorderalph_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.089
44,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1size_facetnone_reorderlarge_to_small_colorgrey20.png,GPT-4V,0.1
45,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1size_facetnone_reorderlarge_to_small_colorgrey20.png,Human/Math-2-1,0.088
46,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1size_facetnone_reorderlarge_to_small_colorgrey20.png,Human/Math-3,0.15
47,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1size_facetnone_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-flan-t5-xl,0.08660000000000001
49,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1size_facetnone_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.289
50,"Among small pizzas, how many more orders are made of most frequently ordered type of pizza compared to least frequently ordered type of pizza?",pizza_x1size_facetnone_reorderlarge_to_small_colorgrey20.png,llava-hf/llava-1.5-7b-hf,0.089
51,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetnone_reorderalph_colorgrey20.png,GPT-4V,0.02851111111111111
52,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetnone_reorderalph_colorgrey20.png,Human/Math-2-1,0.040777777777777774
53,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetnone_reorderalph_colorgrey20.png,Human/Math-3,0.010481481481481475
54,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetnone_reorderalph_colorgrey20.png,Salesforce/blip2-flan-t5-xl,0.6328444444444444
55,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetnone_reorderalph_colorgrey20.png,Salesforce/blip2-flan-t5-xxl,0.24580000000000002
56,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetnone_reorderalph_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.21205555555555555
58,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetnone_reorderlarge_to_small_colorgrey20.png,GPT-4V,0.09517777777777778
59,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetnone_reorderlarge_to_small_colorgrey20.png,Human/Math-2-1,0.08411111111111112
60,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetnone_reorderlarge_to_small_colorgrey20.png,Human/Math-3,0.01788888888888888
61,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetnone_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-flan-t5-xl,0.6672888888888889
62,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetnone_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-flan-t5-xxl,0.23715555555555556
63,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetnone_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.16677777777777777
64,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetnone_reorderlarge_to_small_colorgrey20.png,llava-hf/llava-1.5-7b-hf,0.871
65,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetstatus_reorderalph_colorgrey20.png,GPT-4V,0.3671111111111111
66,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetstatus_reorderalph_colorgrey20.png,Human/Math-2-1,0.43704444444444446
67,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetstatus_reorderalph_colorgrey20.png,Human/Math-3,0.32511111111111113
68,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetstatus_reorderalph_colorgrey20.png,Salesforce/blip2-flan-t5-xl,0.7386444444444444
69,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetstatus_reorderalph_colorgrey20.png,Salesforce/blip2-flan-t5-xxl,0.31864444444444445
70,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetstatus_reorderalph_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.19844444444444442
71,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetstatus_reorderalph_colorgrey20.png,llava-hf/llava-1.5-7b-hf,0.997984126984127
72,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetstatus_reorderlarge_to_small_colorgrey20.png,GPT-4V,0.41322222222222227
73,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetstatus_reorderlarge_to_small_colorgrey20.png,Human/Math-2-1,0.4265555555555556
74,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetstatus_reorderlarge_to_small_colorgrey20.png,Human/Math-3,0.3904722222222222
75,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetstatus_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-flan-t5-xl,0.5235777777777778
76,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetstatus_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-flan-t5-xxl,0.3864222222222222
77,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetstatus_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.14844444444444443
78,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1name_facetstatus_reorderlarge_to_small_colorgrey20.png,llava-hf/llava-1.5-7b-hf,0.9821111111111112
79,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetname_reorderalph_colorgrey20.png,GPT-4V,0.3765555555555556
80,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetname_reorderalph_colorgrey20.png,Human/Math-2-1,0.34552777777777777
81,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetname_reorderalph_colorgrey20.png,Human/Math-3,0.20433333333333334
82,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetname_reorderalph_colorgrey20.png,Salesforce/blip2-flan-t5-xl,0.8008666666666666
83,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetname_reorderalph_colorgrey20.png,Salesforce/blip2-flan-t5-xxl,0.16542222222222222
84,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetname_reorderalph_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.1651111111111111
85,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetname_reorderalph_colorgrey20.png,llava-hf/llava-1.5-7b-hf,0.997984126984127
86,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetname_reorderlarge_to_small_colorgrey20.png,GPT-4V,0.4054444444444445
87,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetname_reorderlarge_to_small_colorgrey20.png,Human/Math-2-1,0.38570370370370366
88,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetname_reorderlarge_to_small_colorgrey20.png,Human/Math-3,0.11788888888888889
89,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetname_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-flan-t5-xl,0.9371555555555554
90,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetname_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-flan-t5-xxl,0.23851111111111112
91,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetname_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.17066666666666666
92,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetname_reorderlarge_to_small_colorgrey20.png,llava-hf/llava-1.5-7b-hf,0.997984126984127
93,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetnone_reorderalph_colorgrey20.png,GPT-4V,0.20433333333333334
94,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetnone_reorderalph_colorgrey20.png,Human/Math-2-1,0.34600000000000003
95,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetnone_reorderalph_colorgrey20.png,Human/Math-3,0.36544444444444446
96,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetnone_reorderalph_colorgrey20.png,Salesforce/blip2-flan-t5-xl,0.7655555555555555
97,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetnone_reorderalph_colorgrey20.png,Salesforce/blip2-flan-t5-xxl,0.3519777777777778
98,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetnone_reorderalph_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.21788888888888888
99,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetnone_reorderalph_colorgrey20.png,llava-hf/llava-1.5-7b-hf,0.8710000000000001
100,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetnone_reorderlarge_to_small_colorgrey20.png,GPT-4V,0.24877777777777776
101,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetnone_reorderlarge_to_small_colorgrey20.png,Human/Math-2-1,0.3761555555555556
102,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetnone_reorderlarge_to_small_colorgrey20.png,Human/Math-3,0.45155555555555554
103,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetnone_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-flan-t5-xl,0.7511111111111111
104,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetnone_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-flan-t5-xxl,0.27222222222222225
105,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetnone_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.17344444444444443
106,How many miles per hour faster was the fastest storm compared to the slowest storm?,storms_x1status_facetnone_reorderlarge_to_small_colorgrey20.png,llava-hf/llava-1.5-7b-hf,1.0191481481481481
107,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1name_facetnone_reorderalph_colorgrey20.png,GPT-4V,0.3014
108,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1name_facetnone_reorderalph_colorgrey20.png,Human/Math-2-1,0.22866666666666666
109,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1name_facetnone_reorderalph_colorgrey20.png,Human/Math-3,0.036750000000000005
112,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1name_facetnone_reorderalph_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.12
113,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1name_facetnone_reorderlarge_to_small_colorgrey20.png,GPT-4V,0.26739999999999997
114,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1name_facetnone_reorderlarge_to_small_colorgrey20.png,Human/Math-2-1,0.004500000000000001
115,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1name_facetnone_reorderlarge_to_small_colorgrey20.png,Human/Math-3,0.028333333333333332
118,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1name_facetnone_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.258
119,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1name_facetsize_reorderalph_colorgrey20.png,GPT-4V,0.28550000000000003
120,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1name_facetsize_reorderalph_colorgrey20.png,Human/Math-2-1,0.17133333333333334
121,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1name_facetsize_reorderalph_colorgrey20.png,Human/Math-3,0.133
124,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1name_facetsize_reorderalph_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.104
126,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1name_facetsize_reorderlarge_to_small_colorgrey20.png,GPT-4V,0.2105
127,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1name_facetsize_reorderlarge_to_small_colorgrey20.png,Human/Math-2-1,0.11822222222222223
128,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1name_facetsize_reorderlarge_to_small_colorgrey20.png,Human/Math-3,0.11966666666666669
131,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1name_facetsize_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.1695
132,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1size_facetname_reorderalph_colorgrey20.png,GPT-4V,1.058
133,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1size_facetname_reorderalph_colorgrey20.png,Human/Math-2-1,0.19299999999999998
134,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1size_facetname_reorderalph_colorgrey20.png,Human/Math-3,0.20425000000000001
137,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1size_facetname_reorderalph_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.20800000000000002
138,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1size_facetname_reorderalph_colorgrey20.png,llava-hf/llava-1.5-7b-hf,0.158
139,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1size_facetname_reorderlarge_to_small_colorgrey20.png,GPT-4V,0.488
140,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1size_facetname_reorderlarge_to_small_colorgrey20.png,Human/Math-2-1,0.07585714285714286
141,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1size_facetname_reorderlarge_to_small_colorgrey20.png,Human/Math-3,0.133
145,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1size_facetname_reorderlarge_to_small_colorgrey20.png,llava-hf/llava-1.5-7b-hf,0.6859999999999999
146,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1size_facetnone_reorderalph_colorgrey20.png,GPT-4V,0.2801111111111111
147,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1size_facetnone_reorderalph_colorgrey20.png,Human/Math-2-1,0.08871428571428572
148,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1size_facetnone_reorderalph_colorgrey20.png,Human/Math-3,0.2455
152,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1size_facetnone_reorderlarge_to_small_colorgrey20.png,GPT-4V,0.1404
153,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1size_facetnone_reorderlarge_to_small_colorgrey20.png,Human/Math-2-1,0.028000000000000004
154,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1size_facetnone_reorderlarge_to_small_colorgrey20.png,Human/Math-3,0.023000000000000003
157,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,pizza_x1size_facetnone_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.158
159,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetnone_reorderalph_colorgrey20.png,GPT-4V,0.135938
160,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetnone_reorderalph_colorgrey20.png,Human/Math-2-1,0.07382000000000001
161,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetnone_reorderalph_colorgrey20.png,Human/Math-3,0.006769999999999982
162,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetnone_reorderalph_colorgrey20.png,Salesforce/blip2-flan-t5-xl,0.5601455555555555
164,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetnone_reorderalph_colorgrey20.png,Salesforce/blip2-opt-2.7b,1.10934
165,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetnone_reorderalph_colorgrey20.png,llava-hf/llava-1.5-7b-hf,0.5802433333333333
166,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetnone_reorderlarge_to_small_colorgrey20.png,GPT-4V,0.21267444444444447
167,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetnone_reorderlarge_to_small_colorgrey20.png,Human/Math-2-1,0.14638142857142858
168,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetnone_reorderlarge_to_small_colorgrey20.png,Human/Math-3,0.055365000000000004
169,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetnone_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-flan-t5-xl,0.402912
171,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetnone_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.47500000000000003
172,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetnone_reorderlarge_to_small_colorgrey20.png,llava-hf/llava-1.5-7b-hf,0.2678714285714286
173,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetorigin_reorderalph_colorgrey20.png,GPT-4V,0.4126744444444445
174,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetorigin_reorderalph_colorgrey20.png,Human/Math-2-1,0.21337857142857145
175,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetorigin_reorderalph_colorgrey20.png,Human/Math-3,0.2874375
176,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetorigin_reorderalph_colorgrey20.png,Salesforce/blip2-flan-t5-xl,0.4355775
178,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetorigin_reorderalph_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.33097
179,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetorigin_reorderalph_colorgrey20.png,llava-hf/llava-1.5-7b-hf,0.19323
180,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetorigin_reorderlarge_to_small_colorgrey20.png,GPT-4V,0.40323000000000003
181,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetorigin_reorderlarge_to_small_colorgrey20.png,Human/Math-2-1,0.13090333333333334
182,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetorigin_reorderlarge_to_small_colorgrey20.png,Human/Math-3,0.135625
183,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetorigin_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-flan-t5-xl,0.3168533333333333
184,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetorigin_reorderlarge_to_small_colorgrey20.png,Salesforce/blip2-flan-t5-xxl,0.31071444444444446
185,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1carrier_facetorigin_reorderlarge_to_small_colorgrey20.png,llava-hf/llava-1.5-7b-hf,0.18474142857142858
186,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1origin_facetcarrier_reorderalph_colorgrey20.png,GPT-4V,0.36823
187,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1origin_facetcarrier_reorderalph_colorgrey20.png,Human/Math-2-1,0.1223966666666667
188,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1origin_facetcarrier_reorderalph_colorgrey20.png,Human/Math-3,0.285758
189,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1origin_facetcarrier_reorderalph_colorgrey20.png,Salesforce/blip2-flan-t5-xl,0.291258
190,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1origin_facetcarrier_reorderalph_colorgrey20.png,Salesforce/blip2-flan-t5-xxl,0.8151579999999999
191,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,flights_x1origin_facetcarrier_reorderalph_colorgrey20.png,Salesforce/blip2-opt-2.7b,0.416104
