,question,image_file,agentType,a_in_b
35,How many more men than women are there among 100 patients with disease X?,ggr_item9.png,GPT-4V,0.0
36,How many more men than women are there among 100 patients with disease X?,ggr_item9.png,Salesforce/blip2-flan-t5-xl,0.0
37,How many more men than women are there among 100 patients with disease X?,ggr_item9.png,Salesforce/blip2-flan-t5-xxl,0.2222222222222222
38,How many more men than women are there among 100 patients with disease X?,ggr_item9.png,Salesforce/blip2-opt-2.7b,0.0
39,How many more men than women are there among 100 patients with disease X?,ggr_item9.png,llava-hf/llava-1.5-7b-hf,0.2
40,"Of 100 patients with disease X, how many are women?",ggr_item8.png,GPT-4V,0.16666666666666666
41,"Of 100 patients with disease X, how many are women?",ggr_item8.png,Human/Math-2-1,0.9295154185022027
42,"Of 100 patients with disease X, how many are women?",ggr_item8.png,Human/Math-3,0.9698890649762282
43,"Of 100 patients with disease X, how many are women?",ggr_item8.png,Salesforce/blip2-flan-t5-xl,0.0
44,"Of 100 patients with disease X, how many are women?",ggr_item8.png,Salesforce/blip2-flan-t5-xxl,0.0
45,"Of 100 patients with disease X, how many are women?",ggr_item8.png,Salesforce/blip2-opt-2.7b,0.0
46,"Of 100 patients with disease X, how many are women?",ggr_item8.png,llava-hf/llava-1.5-7b-hf,0.3333333333333333
47,"Of all the people who die from cancer, approximately what percentage dies from lung cancer?",ggr_item3.png,GPT-4V,0.14285714285714285
48,"Of all the people who die from cancer, approximately what percentage dies from lung cancer?",ggr_item3.png,Human/Math-2-1,0.8832599118942731
49,"Of all the people who die from cancer, approximately what percentage dies from lung cancer?",ggr_item3.png,Human/Math-3,0.8987341772151899
50,"Of all the people who die from cancer, approximately what percentage dies from lung cancer?",ggr_item3.png,Salesforce/blip2-flan-t5-xl,0.0
51,"Of all the people who die from cancer, approximately what percentage dies from lung cancer?",ggr_item3.png,Salesforce/blip2-flan-t5-xxl,0.1
52,"Of all the people who die from cancer, approximately what percentage dies from lung cancer?",ggr_item3.png,Salesforce/blip2-opt-2.7b,0.7142857142857143
53,"Of all the people who die from cancer, approximately what percentage dies from lung cancer?",ggr_item3.png,llava-hf/llava-1.5-7b-hf,0.0
54,What is the difference between the percentage of patients who recovered after a surgery and the percentage of patients who recovered after radiation therapy?,ggr_item2.png,GPT-4V,0.5
55,What is the difference between the percentage of patients who recovered after a surgery and the percentage of patients who recovered after radiation therapy?,ggr_item2.png,Human/Math-2-1,0.7973568281938326
56,What is the difference between the percentage of patients who recovered after a surgery and the percentage of patients who recovered after radiation therapy?,ggr_item2.png,Human/Math-3,0.8401898734177216
57,What is the difference between the percentage of patients who recovered after a surgery and the percentage of patients who recovered after radiation therapy?,ggr_item2.png,Salesforce/blip2-flan-t5-xl,0.0
58,What is the difference between the percentage of patients who recovered after a surgery and the percentage of patients who recovered after radiation therapy?,ggr_item2.png,Salesforce/blip2-opt-2.7b,0.0
59,What is the percentage of cancer patients who die after chemotherapy?,ggr_item13.png,GPT-4V,0.6
60,What is the percentage of cancer patients who die after chemotherapy?,ggr_item13.png,Human/Math-2-1,0.9625550660792952
61,What is the percentage of cancer patients who die after chemotherapy?,ggr_item13.png,Human/Math-3,0.9794303797468354
62,What is the percentage of cancer patients who die after chemotherapy?,ggr_item13.png,Salesforce/blip2-flan-t5-xl,0.3333333333333333
63,What is the percentage of cancer patients who die after chemotherapy?,ggr_item13.png,Salesforce/blip2-flan-t5-xxl,0.0
64,What is the percentage of cancer patients who die after chemotherapy?,ggr_item13.png,Salesforce/blip2-opt-2.7b,0.375
65,What is the percentage of cancer patients who die after chemotherapy?,ggr_item13.png,llava-hf/llava-1.5-7b-hf,0.0
66,What percentage of patients recovered after chemotherapy?,ggr_item1.png,GPT-4V,0.5
67,What percentage of patients recovered after chemotherapy?,ggr_item1.png,Human/Math-2-1,0.9647577092511013
68,What percentage of patients recovered after chemotherapy?,ggr_item1.png,Human/Math-3,0.9746835443037974
69,What percentage of patients recovered after chemotherapy?,ggr_item1.png,Salesforce/blip2-flan-t5-xl,0.0
70,What percentage of patients recovered after chemotherapy?,ggr_item1.png,Salesforce/blip2-flan-t5-xxl,0.0
71,What percentage of patients recovered after chemotherapy?,ggr_item1.png,Salesforce/blip2-opt-2.7b,0.0
72,What percentage of patients recovered after chemotherapy?,ggr_item1.png,llava-hf/llava-1.5-7b-hf,0.0
73,When was the increase in the percentage of people with Adeolitis higher?,ggr_item6.png,GPT-4V,1.0
74,When was the increase in the percentage of people with Adeolitis higher?,ggr_item6.png,Human/Math-2-1,0.8039647577092511
75,When was the increase in the percentage of people with Adeolitis higher?,ggr_item6.png,Human/Math-3,0.8607594936708861
76,When was the increase in the percentage of people with Adeolitis higher?,ggr_item6.png,Salesforce/blip2-flan-t5-xl,0.0
77,When was the increase in the percentage of people with Adeolitis higher?,ggr_item6.png,Salesforce/blip2-flan-t5-xxl,0.0
78,When was the increase in the percentage of people with Adeolitis higher?,ggr_item6.png,Salesforce/blip2-opt-2.7b,0.0
79,When was the increase in the percentage of people with Adeolitis higher?,ggr_item6.png,llava-hf/llava-1.5-7b-hf,0.0
80,Which of the treatments contributes to a larger decrease in the percentage of sick patients?,ggr_item11.png,GPT-4V,0.0
81,Which of the treatments contributes to a larger decrease in the percentage of sick patients?,ggr_item11.png,Human/Math-2-1,0.20484581497797358
82,Which of the treatments contributes to a larger decrease in the percentage of sick patients?,ggr_item11.png,Human/Math-3,0.27056962025316456
83,Which of the treatments contributes to a larger decrease in the percentage of sick patients?,ggr_item11.png,Salesforce/blip2-flan-t5-xl,0.0
84,Which of the treatments contributes to a larger decrease in the percentage of sick patients?,ggr_item11.png,Salesforce/blip2-flan-t5-xxl,0.0
85,Which of the treatments contributes to a larger decrease in the percentage of sick patients?,ggr_item11.png,Salesforce/blip2-opt-2.7b,0.0
86,Which of the treatments contributes to a larger decrease in the percentage of sick patients?,ggr_item11.png,llava-hf/llava-1.5-7b-hf,0.0
