,Unnamed: 0,question,correct_answer,image_file,image_link,task_category,chart_type,text_input_type,dataset,x1,num_bars,facet,num_facets,reorder,description,min_label,max_label
10,10,"Within small classrooms, how much higher are reading scores between the grade with the highest score compared to the grade with the lowest score?",206.56,star_x1grade_facetnone_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/star/star_x1grade_facetnone_reorderlarge_to_small_colorgrey20.png,determine_range,barchart,open_ended_question,star,grade,4,none,1,large_to_small,"This data visualization is intended to show information about: reading scores of elementary school students from different classroom types across different grade levels. In this dataset, there are 3 types of classrooms categorized as “regular-sized (reg)”, “regular-sized with a teaching assistant (reg+A)”, and “small” and 4 grade levels spanning kindergarten, 1st grade, 2nd grade, and 3rd grade.",0,600.0
11,11,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,663.54,flights_x1origin_facetnone_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/flights/flights_x1origin_facetnone_reorderalph_colorgrey20.png,determine_range,barchart,open_ended_question,flights,origin,3,none,1,alph,"This data visualization is intended to show information about:  distances that different airline carriers travel when departing from different NYC Tri-State airports. In this dataset, there are 4 airline carriers called “United”, “Delta”, “JetBlue”, and “American” and 3 airports called “EWR”, “JFK”, and “LGA”.",0,2000.0
12,12,How much higher are reading scores between the grade with the highest scores compared to the grade with the lowest score?,199.19,star_x1grade_facetclass_type_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/star/star_x1grade_facetclass_type_reorderalph_colorgrey20.png,determine_range,barchart,open_ended_question,star,grade,4,class_type,3,alph,"This data visualization is intended to show information about: reading scores of elementary school students from different classroom types across different grade levels. In this dataset, there are 3 types of classrooms categorized as “regular-sized (reg)”, “regular-sized with a teaching assistant (reg+A)”, and “small” and 4 grade levels spanning kindergarten, 1st grade, 2nd grade, and 3rd grade.",0,600.0
13,13,"On average, what is the distance that American Airlines travels when departing from JFK?",1446.2,flights_x1origin_facetcarrier_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/flights/flights_x1origin_facetcarrier_reorderlarge_to_small_colorgrey20.png,retrieve_value,barchart,open_ended_question,flights,origin,3,carrier,4,large_to_small,"This data visualization is intended to show information about:  distances that different airline carriers travel when departing from different NYC Tri-State airports. In this dataset, there are 4 airline carriers called “United”, “Delta”, “JetBlue”, and “American” and 3 airports called “EWR”, “JFK”, and “LGA”.",0,2000.0
14,14,"On average, how many more orders of large pepperoni pizzas are made compared to large Hawaiian pizzas?",0.4,pizza_x1name_facetnone_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1name_facetnone_reorderalph_colorgrey20.png,make_comparisons,barchart,open_ended_question,pizza,name,4,none,1,alph,"This data visualization is intended to show information about: number of pizza orders for different kinds of pizzas across different sizes. In this dataset, there are 4 kinds of pizzas “bbq chicken”, “deluxe”, “hawaiian”, and “pepperoni” and 3 different sizes of large (L), medium (M), and small (S).",0,10.0
15,15,How many miles per hour faster was the fastest storm compared to the slowest storm?,21.61,storms_x1name_facetnone_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/storms/storms_x1name_facetnone_reorderalph_colorgrey20.png,determine_range,barchart,open_ended_question,storms,name,4,none,1,alph,"This data visualization is intended to show information about: wind speeds (mph) of different storms categorized at different levels. In this dataset, there are 4 storms named “Alberto”, “Bonnie”, “Claudette”, and “Emily” and 4 storm levels categorized as hurricanes, tropical storms, and tropical depressions.",0,90.0
16,16,How much higher are education levels between the region with the highest education level compared to the region with the lowest education level?,0.05,happiness_x1happy_facetregion_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/happiness/happiness_x1happy_facetregion_reorderlarge_to_small_colorgrey20.png,determine_range,barchart,open_ended_question,happiness,happy,3,region,4,large_to_small,"This data visualization is intended to show information about: education levels of people who report different levels of happiness across different regions of the United States. In this dataset, there are 3 levels of happiness categorized as “very happy”, “pretty happy”, and “not too happy” and 4 regions spanning the East Coast, Midwest, South, and West Coast.",0,20.0
17,17,"Within of injuries involving backseat passengers, how much higher is the injury severity level in the decade with the higher severity compared to the decade with the lower severity? ",0.96,accidents_x1occRole_facetdecade_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/accidents/accidents_x1occRole_facetdecade_reorderlarge_to_small_colorgrey20.png,determine_range,barchart,open_ended_question,accidents,occRole,2,decade,2,large_to_small,"This data visualization is intended to show information about: severity level of injuries reported for during car accidents across different decades. In this dataset, there are 2 reported injury types for “drivers” and “passengers” and 2 decades spanning the “1990s” and “2000s”.",0,6.0
18,18,"On average, how much higher are ratings of Drama movies compared to the Comedy movies? ",0.33,movies_x1decade_facetgenre_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1decade_facetgenre_reorderalph_colorgrey20.png,make_comparisons,barchart,open_ended_question,movies,decade,4,genre,4,alph,"This data visualization is intended to show information about: movie ratings of different genres across different decades. In this dataset, there are 4 movie genres “Action”, “Comedy”, “Drama”, and “Romance” and 4 decades spanning the “1970s”, “1980s”, “1990s”, “2000s”.",0,7.5
19,19,"On average, how much longer does it take women to complete the race relative to men? ",0.25,race_x1state_facetsex_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/race/race_x1state_facetsex_reorderlarge_to_small_colorgrey20.png,make_comparisons,barchart,open_ended_question,race,state,3,sex,2,large_to_small,"This data visualization is intended to show information about: marathon times of runners from different states across the United States. In this dataset, there are 2 reported genders “Men” and “Women” and 3 states spanning Virginia “VA), District Columbia (DC), and “Maryland (MD).",0,2.5
20,20,"On average, how many orders of large pepperoni pizzas are made?",5.0,pizza_x1name_facetsize_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1name_facetsize_reorderlarge_to_small_colorgrey20.png,retrieve_value,barchart,open_ended_question,pizza,name,4,size,3,large_to_small,"This data visualization is intended to show information about: number of pizza orders for different kinds of pizzas across different sizes. In this dataset, there are 4 kinds of pizzas “bbq chicken”, “deluxe”, “hawaiian”, and “pepperoni” and 3 different sizes of large (L), medium (M), and small (S).",0,10.0
21,21,"Within people who report being very happy, how much higher are education levels between the region with the highest education level compared to the region with the lowest education level? ",2.5,happiness_x1region_facethappy_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/happiness/happiness_x1region_facethappy_reorderlarge_to_small_colorgrey20.png,determine_range,barchart,open_ended_question,happiness,region,4,happy,3,large_to_small,"This data visualization is intended to show information about: education levels of people who report different levels of happiness across different regions of the United States. In this dataset, there are 3 levels of happiness categorized as “very happy”, “pretty happy”, and “not too happy” and 4 regions spanning the East Coast, Midwest, South, and West Coast.",0,20.0
22,22,"Within flights departing from JFK, how much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?",667.6,flights_x1carrier_facetorigin_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/flights/flights_x1carrier_facetorigin_reorderlarge_to_small_colorgrey20.png,determine_range,barchart,open_ended_question,flights,carrier,4,origin,3,large_to_small,"This data visualization is intended to show information about:  distances that different airline carriers travel when departing from different NYC Tri-State airports. In this dataset, there are 4 airline carriers called “United”, “Delta”, “JetBlue”, and “American” and 3 airports called “EWR”, “JFK”, and “LGA”.",0,2000.0
23,23,"On average, what was the injury severity level of drivers in the 1990s?",1.71,accidents_x1decade_facetnone_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/accidents/accidents_x1decade_facetnone_reorderalph_colorgrey20.png,retrieve_value,barchart,open_ended_question,accidents,decade,2,none,1,alph,"This data visualization is intended to show information about: severity level of injuries reported for during car accidents across different decades. In this dataset, there are 2 reported injury types for “drivers” and “passengers” and 2 decades spanning the “1990s” and “2000s”.",0,6.0
24,24,"On average, how many miles per hour faster are storms categorized as hurricanes compared to those categorized as tropical depressions?",56.29,storms_x1status_facetnone_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/storms/storms_x1status_facetnone_reorderlarge_to_small_colorgrey20.png,make_comparisons,barchart,open_ended_question,storms,status,3,none,1,large_to_small,"This data visualization is intended to show information about: wind speeds (mph) of different storms categorized at different levels. In this dataset, there are 4 storms named “Alberto”, “Bonnie”, “Claudette”, and “Emily” and 4 storm levels categorized as hurricanes, tropical storms, and tropical depressions.",0,90.0
25,25,"Within people who report being very happy, how much higher are education levels between the region with the highest education level compared to the region with the lowest education level? ",2.5,happiness_x1region_facethappy_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/happiness/happiness_x1region_facethappy_reorderalph_colorgrey20.png,determine_range,barchart,open_ended_question,happiness,region,4,happy,3,alph,"This data visualization is intended to show information about: education levels of people who report different levels of happiness across different regions of the United States. In this dataset, there are 3 levels of happiness categorized as “very happy”, “pretty happy”, and “not too happy” and 4 regions spanning the East Coast, Midwest, South, and West Coast.",0,20.0
26,26,"On average, how much higher are ratings of Drama movies compared to the Comedy movies? ",0.33,movies_x1genre_facetnone_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1genre_facetnone_reorderalph_colorgrey20.png,make_comparisons,barchart,open_ended_question,movies,genre,4,none,1,alph,"This data visualization is intended to show information about: movie ratings of different genres across different decades. In this dataset, there are 4 movie genres “Action”, “Comedy”, “Drama”, and “Romance” and 4 decades spanning the “1970s”, “1980s”, “1990s”, “2000s”.",0,7.5
27,27,"On average, what is the rating of Action movies?",4.87,movies_x1genre_facetnone_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1genre_facetnone_reorderlarge_to_small_colorgrey20.png,retrieve_value,barchart,open_ended_question,movies,genre,4,none,1,large_to_small,"This data visualization is intended to show information about: movie ratings of different genres across different decades. In this dataset, there are 4 movie genres “Action”, “Comedy”, “Drama”, and “Romance” and 4 decades spanning the “1970s”, “1980s”, “1990s”, “2000s”.",0,7.5
28,28,"Within of injuries involving backseat passengers, how much higher is the injury severity level in the decade with the higher severity compared to the decade with the lower severity? ",0.96,accidents_x1occRole_facetnone_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/accidents/accidents_x1occRole_facetnone_reorderlarge_to_small_colorgrey20.png,determine_range,barchart,open_ended_question,accidents,occRole,2,none,1,large_to_small,"This data visualization is intended to show information about: severity level of injuries reported for during car accidents across different decades. In this dataset, there are 2 reported injury types for “drivers” and “passengers” and 2 decades spanning the “1990s” and “2000s”.",0,6.0
29,29,How much higher are ratings of movies from the decade with the highest ratings compared to the decade with the lowest ratings?,0.87,movies_x1genre_facetnone_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1genre_facetnone_reorderlarge_to_small_colorgrey20.png,determine_range,barchart,open_ended_question,movies,genre,4,none,1,large_to_small,"This data visualization is intended to show information about: movie ratings of different genres across different decades. In this dataset, there are 4 movie genres “Action”, “Comedy”, “Drama”, and “Romance” and 4 decades spanning the “1970s”, “1980s”, “1990s”, “2000s”.",0,7.5
30,30,"On average, how much higher are reading scores by 3rd graders in regular-sized classrooms compared to kindergarteners in regular-sized classrooms?",151.8,star_x1class_type_facetnone_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/star/star_x1class_type_facetnone_reorderlarge_to_small_colorgrey20.png,make_comparisons,barchart,open_ended_question,star,class_type,3,none,1,large_to_small,"This data visualization is intended to show information about: reading scores of elementary school students from different classroom types across different grade levels. In this dataset, there are 3 types of classrooms categorized as “regular-sized (reg)”, “regular-sized with a teaching assistant (reg+A)”, and “small” and 4 grade levels spanning kindergarten, 1st grade, 2nd grade, and 3rd grade.",0,600.0
31,31,"On average, what was the injury severity level of drivers in the 1990s?",1.71,accidents_x1occRole_facetnone_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/accidents/accidents_x1occRole_facetnone_reorderlarge_to_small_colorgrey20.png,retrieve_value,barchart,open_ended_question,accidents,occRole,2,none,1,large_to_small,"This data visualization is intended to show information about: severity level of injuries reported for during car accidents across different decades. In this dataset, there are 2 reported injury types for “drivers” and “passengers” and 2 decades spanning the “1990s” and “2000s”.",0,6.0
32,32,How much further does the airline traveling the longest distance travel compared to the airline traveling the shortest distance?,663.54,flights_x1carrier_facetnone_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/flights/flights_x1carrier_facetnone_reorderlarge_to_small_colorgrey20.png,determine_range,barchart,open_ended_question,flights,carrier,4,none,1,large_to_small,"This data visualization is intended to show information about:  distances that different airline carriers travel when departing from different NYC Tri-State airports. In this dataset, there are 4 airline carriers called “United”, “Delta”, “JetBlue”, and “American” and 3 airports called “EWR”, “JFK”, and “LGA”.",0,2000.0
33,33,"On average, what is the reading score of 3rd graders who are in regular sized classrooms? ",573.0,star_x1class_type_facetgrade_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/star/star_x1class_type_facetgrade_reorderlarge_to_small_colorgrey20.png,retrieve_value,barchart,open_ended_question,star,class_type,3,grade,4,large_to_small,"This data visualization is intended to show information about: reading scores of elementary school students from different classroom types across different grade levels. In this dataset, there are 3 types of classrooms categorized as “regular-sized (reg)”, “regular-sized with a teaching assistant (reg+A)”, and “small” and 4 grade levels spanning kindergarten, 1st grade, 2nd grade, and 3rd grade.",0,600.0
34,34,"On average, how many orders of large pizzas are made?",5.04,pizza_x1name_facetnone_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1name_facetnone_reorderalph_colorgrey20.png,retrieve_value,barchart,open_ended_question,pizza,name,4,none,1,alph,"This data visualization is intended to show information about: number of pizza orders for different kinds of pizzas across different sizes. In this dataset, there are 4 kinds of pizzas “bbq chicken”, “deluxe”, “hawaiian”, and “pepperoni” and 3 different sizes of large (L), medium (M), and small (S).",0,10.0
35,35,"On average, what is the distance traveled by flights departing from JFK?",1202.19,flights_x1origin_facetcarrier_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/flights/flights_x1origin_facetcarrier_reorderalph_colorgrey20.png,retrieve_value,barchart,open_ended_question,flights,origin,3,carrier,4,alph,"This data visualization is intended to show information about:  distances that different airline carriers travel when departing from different NYC Tri-State airports. In this dataset, there are 4 airline carriers called “United”, “Delta”, “JetBlue”, and “American” and 3 airports called “EWR”, “JFK”, and “LGA”.",0,2000.0
36,36,How many more orders of pizzas are made between the pizza type with the most orders compared to the type with the lowest orders? ,0.42,pizza_x1name_facetsize_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/pizza/pizza_x1name_facetsize_reorderalph_colorgrey20.png,determine_range,barchart,open_ended_question,pizza,name,4,size,3,alph,"This data visualization is intended to show information about: number of pizza orders for different kinds of pizzas across different sizes. In this dataset, there are 4 kinds of pizzas “bbq chicken”, “deluxe”, “hawaiian”, and “pepperoni” and 3 different sizes of large (L), medium (M), and small (S).",0,10.0
37,37,"On average, how much longer does it take women to complete the race relative to men? ",0.25,race_x1state_facetsex_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/race/race_x1state_facetsex_reorderalph_colorgrey20.png,make_comparisons,barchart,open_ended_question,race,state,3,sex,2,alph,"This data visualization is intended to show information about: marathon times of runners from different states across the United States. In this dataset, there are 2 reported genders “Men” and “Women” and 3 states spanning Virginia “VA), District Columbia (DC), and “Maryland (MD).",0,2.5
38,38,"On average, what is the education level of people living on the West Coast who report being very happy?",13.57,happiness_x1happy_facetnone_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/happiness/happiness_x1happy_facetnone_reorderalph_colorgrey20.png,retrieve_value,barchart,open_ended_question,happiness,happy,3,none,1,alph,"This data visualization is intended to show information about: education levels of people who report different levels of happiness across different regions of the United States. In this dataset, there are 3 levels of happiness categorized as “very happy”, “pretty happy”, and “not too happy” and 4 regions spanning the East Coast, Midwest, South, and West Coast.",0,20.0
39,39,"On average, how much longer does it take women from VA to complete the race compared to women from MD? ",0.06,race_x1state_facetnone_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/race/race_x1state_facetnone_reorderalph_colorgrey20.png,make_comparisons,barchart,open_ended_question,race,state,3,none,1,alph,"This data visualization is intended to show information about: marathon times of runners from different states across the United States. In this dataset, there are 2 reported genders “Men” and “Women” and 3 states spanning Virginia “VA), District Columbia (DC), and “Maryland (MD).",0,2.5
40,40,"On average, how many miles per hour are storms categorized as tropical storms?",43.82,storms_x1status_facetnone_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/storms/storms_x1status_facetnone_reorderlarge_to_small_colorgrey20.png,retrieve_value,barchart,open_ended_question,storms,status,3,none,1,large_to_small,"This data visualization is intended to show information about: wind speeds (mph) of different storms categorized at different levels. In this dataset, there are 4 storms named “Alberto”, “Bonnie”, “Claudette”, and “Emily” and 4 storm levels categorized as hurricanes, tropical storms, and tropical depressions.",0,90.0
41,41,"On average, how much higher are the injury severity levels of drivers compared to backseat passengers in the 1990s?",0.21,accidents_x1occRole_facetnone_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/accidents/accidents_x1occRole_facetnone_reorderlarge_to_small_colorgrey20.png,make_comparisons,barchart,open_ended_question,accidents,occRole,2,none,1,large_to_small,"This data visualization is intended to show information about: severity level of injuries reported for during car accidents across different decades. In this dataset, there are 2 reported injury types for “drivers” and “passengers” and 2 decades spanning the “1990s” and “2000s”.",0,6.0
42,42,"On average, how much higher is the education level of people living in the South who report being unhappy compared to those who report being very happy? ",3.5,happiness_x1region_facetnone_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/happiness/happiness_x1region_facetnone_reorderlarge_to_small_colorgrey20.png,make_comparisons,barchart,open_ended_question,happiness,region,4,none,1,large_to_small,"This data visualization is intended to show information about: education levels of people who report different levels of happiness across different regions of the United States. In this dataset, there are 3 levels of happiness categorized as “very happy”, “pretty happy”, and “not too happy” and 4 regions spanning the East Coast, Midwest, South, and West Coast.",0,20.0
43,43,"Within small classrooms, how much higher are reading scores between the grade with the highest score compared to the grade with the lowest score?",206.56,star_x1class_type_facetnone_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/star/star_x1class_type_facetnone_reorderlarge_to_small_colorgrey20.png,determine_range,barchart,open_ended_question,star,class_type,3,none,1,large_to_small,"This data visualization is intended to show information about: reading scores of elementary school students from different classroom types across different grade levels. In this dataset, there are 3 types of classrooms categorized as “regular-sized (reg)”, “regular-sized with a teaching assistant (reg+A)”, and “small” and 4 grade levels spanning kindergarten, 1st grade, 2nd grade, and 3rd grade.",0,600.0
44,44,"On average, what is the rating of 1990s movies within the Action genre?",4.45,movies_x1decade_facetgenre_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1decade_facetgenre_reorderalph_colorgrey20.png,retrieve_value,barchart,open_ended_question,movies,decade,4,genre,4,alph,"This data visualization is intended to show information about: movie ratings of different genres across different decades. In this dataset, there are 4 movie genres “Action”, “Comedy”, “Drama”, and “Romance” and 4 decades spanning the “1970s”, “1980s”, “1990s”, “2000s”.",0,7.5
45,45,"Within storms categorized as hurricanes, how many more miles per hour was the fastest storm compared to the slowest storm? ",12.08,storms_x1status_facetname_reorderalph_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/storms/storms_x1status_facetname_reorderalph_colorgrey20.png,determine_range,barchart,open_ended_question,storms,status,3,name,4,alph,"This data visualization is intended to show information about: wind speeds (mph) of different storms categorized at different levels. In this dataset, there are 4 storms named “Alberto”, “Bonnie”, “Claudette”, and “Emily” and 4 storm levels categorized as hurricanes, tropical storms, and tropical depressions.",0,90.0
46,46,How much higher are education levels between the region with the highest education level compared to the region with the lowest education level?,0.05,happiness_x1region_facethappy_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/happiness/happiness_x1region_facethappy_reorderlarge_to_small_colorgrey20.png,determine_range,barchart,open_ended_question,happiness,region,4,happy,3,large_to_small,"This data visualization is intended to show information about: education levels of people who report different levels of happiness across different regions of the United States. In this dataset, there are 3 levels of happiness categorized as “very happy”, “pretty happy”, and “not too happy” and 4 regions spanning the East Coast, Midwest, South, and West Coast.",0,20.0
47,47,"On average, how much higher are ratings of Action movies from the 2000s compared to the 1990s?",1.12,movies_x1decade_facetnone_reorderlarge_to_small_colorgrey20.png,https://data-visualization-benchmark.s3.us-west-2.amazonaws.com/holf/images/movies/movies_x1decade_facetnone_reorderlarge_to_small_colorgrey20.png,make_comparisons,barchart,open_ended_question,movies,decade,4,none,1,large_to_small,"This data visualization is intended to show information about: movie ratings of different genres across different decades. In this dataset, there are 4 movie genres “Action”, “Comedy”, “Drama”, and “Romance” and 4 decades spanning the “1970s”, “1980s”, “1990s”, “2000s”.",0,7.5
